,image_0,image_1,caption_0,caption_1
287,ex_287_img_0,ex_287_img_1,a group of three people with longer hair and two with short hair in a business context,a group of two people with longer hair and three with short hair in a business context
288,ex_288_img_0,ex_288_img_1,the gesture of the person sitting down is supporting the understanding of the person standing up,the gesture of the person standing up is supporting the understanding of the person sitting down
289,ex_289_img_0,ex_289_img_1,the circle is above the cross,the cross is above the circle
290,ex_290_img_0,ex_290_img_1,aerial view of a green tree in the brown freshly turned soil next to a green field,aerial view of a green tree in a green field next to the brown freshly turned soil
291,ex_291_img_0,ex_291_img_1,physical therapist inspecting blue elastic therapeutic kinesio tape over pink,physical therapist inspecting pink elastic therapeutic kinesio tape over blue
292,ex_292_img_0,ex_292_img_1,the skipping rope color is different to the shoelaces but similar to the shoes,the skipping rope color is similar to the shoelaces but different to the shoes
293,ex_293_img_0,ex_293_img_1,the blue balloon is being lifted by the weight,the weight is being lifted by the blue balloon
294,ex_294_img_0,ex_294_img_1,the sea is rough but the rocks are smooth,the sea is smooth but the rocks are rough
295,ex_295_img_0,ex_295_img_1,the melting white food is cold while the brown is warm,the melting white food is warm while the brown is cold
296,ex_296_img_0,ex_296_img_1,the person with a beard is smiling while the person with long hair is not,the person with long hair is smiling while the person with a beard is not
297,ex_297_img_0,ex_297_img_1,the pet on the right is white and the one on the left is not,the pet on the left is white and the one on the right is not
298,ex_298_img_0,ex_298_img_1,the outlet carrying water from the faucet to the shower head is near the hot tap not the cold,the outlet carrying water from the faucet to the shower head is near the cold tap not the hot
299,ex_299_img_0,ex_299_img_1,the larger ball is heavier and the smaller one is lighter,the larger ball is lighter and the smaller one is heavier
300,ex_300_img_0,ex_300_img_1,The adult with the magnifying glass looks at the kid,The adult looks at the kid with the magnifying glass
301,ex_301_img_0,ex_301_img_1,a dog is on a blanket with spots,a blanket is on a dog with spots
302,ex_302_img_0,ex_302_img_1,There is a mouse cake for a birthday,There is a birthday cake for a mouse
303,ex_303_img_0,ex_303_img_1,The cold-blooded animal isn't happy in warm water,The warm-blooded animal isn't happy in cold water
304,ex_304_img_0,ex_304_img_1,The white queen is taking the black king,The black queen is taking the white king
305,ex_305_img_0,ex_305_img_1,visiting animals at home can be fun,animals visiting at home can be fun
306,ex_306_img_0,ex_306_img_1,the person is not happy with the cat,the cat is not happy with the person
307,ex_307_img_0,ex_307_img_1,the person is too big for the small door,the door is too small for the big person
308,ex_308_img_0,ex_308_img_1,a taller person is covering the eyes of a shorter person,a shorter person is covering the eyes of a taller person
309,ex_309_img_0,ex_309_img_1,the plant is eating the bug,the bug is eating the plant
310,ex_310_img_0,ex_310_img_1,every bug has a leaf,every leaf has a bug
311,ex_311_img_0,ex_311_img_1,the green leaves will soon be red as the seasons change,the red leaves will soon be green as the seasons change
312,ex_312_img_0,ex_312_img_1,the white wall will soon be painted blue,the blue wall will soon be painted white
313,ex_313_img_0,ex_313_img_1,the moon prevents the sun's rays from falling on the earth,the earth prevents the sun's rays from falling on the moon
314,ex_314_img_0,ex_314_img_1,all paper airplanes fly on a straight path except for one which takes a curved one,all paper airplanes fly on a curved path except for one which takes a straight one
315,ex_315_img_0,ex_315_img_1,the person is too big for the pants,the pants is too big for the person
316,ex_316_img_0,ex_316_img_1,a kid jumped then threw a basketball,a kid threw a basketball then jumped
317,ex_317_img_0,ex_317_img_1,one cheerlearder supporting multiple cheerleaders,multiple cheerleaders supporting one cheerlearder
318,ex_318_img_0,ex_318_img_1,two persons wearing one scarf,one person wearing two scarfs
319,ex_319_img_0,ex_319_img_1,human head on pet,pet head on human
320,ex_320_img_0,ex_320_img_1,the cow is over the moon,the moon is over the cow
321,ex_321_img_0,ex_321_img_1,someone babys a pet,someone pets a baby
322,ex_322_img_0,ex_322_img_1,cat house,house cat
323,ex_323_img_0,ex_323_img_1,gold for pan,pan for gold
324,ex_324_img_0,ex_324_img_1,water for plants,plants for water
325,ex_325_img_0,ex_325_img_1,the businessperson's down fall,the businessperson's fall down
326,ex_326_img_0,ex_326_img_1,outswam the person in the red swimcap,the person in the red swimcap swamout
327,ex_327_img_0,ex_327_img_1,manning a ship,shiping a mann
328,ex_328_img_0,ex_328_img_1,the person wearing a sweater stands in front of the person who isn't wearing a sweater,the person who isn't wearing a sweater stands in front of the person wearing a sweater
329,ex_329_img_0,ex_329_img_1,a person without glasses pushes a person with glasses sitting in a box,a person with glasses pushes a person without glasses sitting in a box
330,ex_330_img_0,ex_330_img_1,what is green will soon be yellow,what is yellow will soon be green
331,ex_331_img_0,ex_331_img_1,soon this animal not with a tail will have one,soon this animal with a tail will not have one
332,ex_332_img_0,ex_332_img_1,a mouse is touching a dog,a dog is touching a mouse
333,ex_333_img_0,ex_333_img_1,fishing for compliments,compliments for fishing
334,ex_334_img_0,ex_334_img_1,that person dusting off their hands,that person hands off their dusting
335,ex_335_img_0,ex_335_img_1,a person wearing black shoes cleaning a bookshelf with an orange duster while a person wearing green shoes drinks wine from an orange glass and relaxes,a person wearing green shoes cleaning a bookshelf with an orange duster while a person wearing black shoes drinks wine from an orange glass and relaxes
336,ex_336_img_0,ex_336_img_1,a person with short hair is happily ironing a light blue shirt while a person with long hair sits on a white couch,a person with long hair is happily ironing a light blue shirt while a person with short hair sits on a white couch
337,ex_337_img_0,ex_337_img_1,yellow duck shoes on,yellow duck on shoes
338,ex_338_img_0,ex_338_img_1,child in front facing row of yellow rubber ducks,front facing child in row of yellow rubber ducks
339,ex_339_img_0,ex_339_img_1,a bird cooking a person,a person cooking a bird
340,ex_340_img_0,ex_340_img_1,a person wearing yellow and a person wearing stripes jumping,a jumping person wearing yellow and a person wearing stripes
341,ex_341_img_0,ex_341_img_1,a person wearing yellow with their feet in the air and a person wearing stripes,a person wearing stripes with their feet in the air and a person wearing yellow
342,ex_342_img_0,ex_342_img_1,darker things become light in stripes,light things in stripes become darker
343,ex_343_img_0,ex_343_img_1,together hammering something,hammering something together
344,ex_344_img_0,ex_344_img_1,A person sits next to a baby using an orange screwdriver to assemble a white piece of furniture,A baby sits next to a person using an orange screwdriver to assemble a white piece of furniture
345,ex_345_img_0,ex_345_img_1,a worker in a yellow hat uses a drill to the left of where the opening in the wall is,the opening in the wall is to the left of where a worker in a yellow hat uses a drill
346,ex_346_img_0,ex_346_img_1,A small animal with curled hair,A curled small animal with hair
347,ex_347_img_0,ex_347_img_1,A right hand pulls a glove onto a left hand,A left hand pulls a glove onto a right hand
348,ex_348_img_0,ex_348_img_1,A dog and a person with their feet hanging out of a car window,A dog with their feet hanging out of a car window and a person
349,ex_349_img_0,ex_349_img_1,A person whispering into a dog's ear,A dog whispering into a person's ear
350,ex_350_img_0,ex_350_img_1,one ear that some donkey is whispering a secret into,donkey ear that some one is whispering a secret into
351,ex_351_img_0,ex_351_img_1,walking someone cut lines into green plants,someone walking lines cut into green plants
352,ex_352_img_0,ex_352_img_1,a volcano above water makes steam,water above a volcano makes steam
353,ex_353_img_0,ex_353_img_1,A child riding a bike and an adult,A child and an adult riding a bike
354,ex_354_img_0,ex_354_img_1,an adult putting a helmet on a child,a child putting a helmet on an adult
355,ex_355_img_0,ex_355_img_1,An adult wearing purple lying next to a child,An adult lying next to a child wearing purple
356,ex_356_img_0,ex_356_img_1,a fencer who is wearing black pants having a point scored against them by another fencer using a wheelchair,a fencer having a point scored against them by another fencer who is wearing black pants using a wheelchair
357,ex_357_img_0,ex_357_img_1,a person with long braids is exercising in front of a person without braids,a person without braids is exercising in front of a person with long braids
358,ex_358_img_0,ex_358_img_1,"in the stadium, the person wearing gray outperformed the one wearing blue","in the stadium, the person wearing blue outperformed the one wearing gray"
359,ex_359_img_0,ex_359_img_1,butchering white meat while wearing yellow but not red,butchering red meat while wearing white but not yellow
360,ex_360_img_0,ex_360_img_1,a child with a fake beard and an adult,an adult with a fake beard and a child
361,ex_361_img_0,ex_361_img_1,"on halloween, a child dressed as an insect is to the right of a child dressed as a mammal","on halloween, a child dressed as a mammal is to the right of a child dressed as an insect"
362,ex_362_img_0,ex_362_img_1,a modern office complex with many windows above a nicely landscaped lawn,a nicely landscaped lawn above a modern office complex with many windows
363,ex_363_img_0,ex_363_img_1,a tree is partially inside a parked car,a parked car is partially inside a tree
364,ex_364_img_0,ex_364_img_1,some are parking in a train,some are training in a park
365,ex_365_img_0,ex_365_img_1,an athlete running on water,water running on an athlete
366,ex_366_img_0,ex_366_img_1,a horse getting wet,getting a horse wet
367,ex_367_img_0,ex_367_img_1,the glasses full of water are above the person's head and leg,the person's head and leg are above the glasses full of water
368,ex_368_img_0,ex_368_img_1,a person is touching the head of a squirrel,a squirrel is touching the head of a person
369,ex_369_img_0,ex_369_img_1,a deer's nose is resting on a child's hand,a child's hand is resting on a deer's nose
370,ex_370_img_0,ex_370_img_1,two sparklers for one hand,one sparkler for two hands
371,ex_371_img_0,ex_371_img_1,an animal giving a person food,a person giving an animal food
372,ex_372_img_0,ex_372_img_1,a spider towering over a dog,a dog towering over a spider
373,ex_373_img_0,ex_373_img_1,a car going into a hollow tube,a hollow tube going into a car
374,ex_374_img_0,ex_374_img_1,two people wearing clothes of the same colors are on different side of the tennis net,two people wearing clothes of different colors are on the same side of the tennis net
375,ex_375_img_0,ex_375_img_1,living things drinking,drinking living things
376,ex_376_img_0,ex_376_img_1,a person near water using a lasso,near a person using a water lasso
377,ex_377_img_0,ex_377_img_1,a person spraying water on someone else and a person on a bike,a person spraying water on a person on a bike and someone else
378,ex_378_img_0,ex_378_img_1,a person stretching behind a brown dog,a brown dog stretching behind a person
379,ex_379_img_0,ex_379_img_1,a person carrying more than one flotation device,more than one flotation device carrying a person
380,ex_380_img_0,ex_380_img_1,two kids on a pool floatie and one kid swimming,one kid on a pool floatie and two kids swimming
381,ex_381_img_0,ex_381_img_1,gears for moving something,moving gears for something
382,ex_382_img_0,ex_382_img_1,looking from above at a collection of similar objects below,looking from below at a collection of similar objects above
383,ex_383_img_0,ex_383_img_1,a toy herbivore stands on top of at least one toy carnivore,at least one toy herbivore stands on top of a toy carnivore
384,ex_384_img_0,ex_384_img_1,a person supports a small chair,a chair supports a small person
385,ex_385_img_0,ex_385_img_1,a person smiles at another person wearing a checked shirt who is hitting a ping pong ball,a person wearing a checked shirt smiles at another person who is hitting a ping pong ball
386,ex_386_img_0,ex_386_img_1,two versions of one person,one version of two persons
387,ex_387_img_0,ex_387_img_1,There are not pink flowers below the bird with yellow head feathers,There are pink flowers not below the bird with yellow head feathers
388,ex_388_img_0,ex_388_img_1,"In a shopping cart, there are two animals that are the same species but are looking in different directions","In a shopping cart, there are two animals that are the different species but are looking in same directions"
389,ex_389_img_0,ex_389_img_1,water is on and under a vessel,a vessel is on and under water
390,ex_390_img_0,ex_390_img_1,two bodies share with one head,one bodies share with two head
391,ex_391_img_0,ex_391_img_1,The worker wears something striped over a white undershirt with a collar,The worker wears something white over a striped undershirt with a collar
392,ex_392_img_0,ex_392_img_1,A person seen from above has a grid below them,A person seen from below has a grid above them
393,ex_393_img_0,ex_393_img_1,head in the clouds,clouds in the head
394,ex_394_img_0,ex_394_img_1,standing on feet,on feet standing
395,ex_395_img_0,ex_395_img_1,They have sunglasses over their hair,They have hair over their sunglasses
396,ex_396_img_0,ex_396_img_1,an odd number of sweet things on a plate with an even number of sides,an even number of sweet things on a plate with an odd number of sides
397,ex_397_img_0,ex_397_img_1,a large living thing in front of a large non-living thing,a large non-living thing in front of a large living thing
398,ex_398_img_0,ex_398_img_1,racing over it,racing it over
399,ex_399_img_0,ex_399_img_1,someone is overdoing it,someone is doing it over
